Name complex,Geo,State of house,Rooms amount,"Squares,м²",Metro,"Time to metro,мин.","Price,₽",Data
ЖК «Новое Колпино»,"Санкт-Петербург, р-н Колпинский, мкр. Колпино, Новое Колпино жилой комплекс, к39",Новостройка,1-комн. квартира,"32,43 ",Рыбацкое,19 ,4 804 860 ,15.10
ЖК «Аэросити 4»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Жилой Аэросити 4 квартал",Новостройка,1-комн. квартира,"33,7 ",Купчино,7 ,4 819 100 ,11.10
ЖК «Аэросити 2»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, просп. Старорусский, 9",Новостройка,Студия,"27,6 ",Купчино,10 ,4 830 000 ,10.10
ЖК «Вольта»,"Санкт-Петербург, р-н Красногвардейский, Малая Охта, просп. Энергетиков, 6к2",Новостройка Апартаменты,Апартаменты-студия,"21,57 ",Ладожская,9 ,4 830 472 ,14.10
ЖК «UP-квартал Пушкинский»,"Санкт-Петербург, р-н Пушкинский, мкр. Пушкин, ул. Архитектора Данини, 23к2",Новостройка,Студия,"25,52 ",Шушары,28 ,4 801 307 ,14.10
ЖК «UP-квартал Пушкинский»,"Санкт-Петербург, р-н Пушкинский, мкр. Пушкин, ул. Архитектора Данини, 23к1",Новостройка,Студия,"25,52 ",Шушары,28 ,4 801 307 ,12.10
ЖК «Образцовый квартал 13»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Образцовый Квартал 13 жилой комплекс",Новостройка,1-комн. квартира,"27,53 ",Купчино,16 ,4 814 997 ,10.10
ЖК «Образцовый квартал 13»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Образцовый Квартал 13 жилой комплекс",Новостройка,1-комн. квартира,"26,6 ",Купчино,16 ,4 803 960 ,10.10
ЖК «WINGS апартаменты на Крыленко (Вингс апартаменты на Крыленко)»,"Санкт-Петербург, р-н Невский, № 54",Новостройка Апартаменты,Апартаменты-студия,"26,64 ",Улица Дыбенко,4 ,4 838 027 ,06.10
ЖК «UP-квартал Новый Московский»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Ап-квартал Новый Московский жилой комплекс",Новостройка,1-комн. квартира,"36,68 ",Шушары,16 ,4 820 118 ,06.10
